Missions-Nr. | Start-Datum | Missionsbezeichnung |  Orbiter   | Startrampe
107 | 05.12.2001 | STS-108 | Endeavour | LC-39B
108 | 01.03.2002 | STS-109 | Columbia | LC-39A
109 | 08.04.2002 | STS-110 | Atlantis | LC-39B
110 | 05.06.2002 | STS-111 | Endeavour | LC-39A
111 | 07.10.2002 | STS-112 | Atlantis | LC-39B
112 | 24.11.2002 | STS-113 | Endeavour | LC-39A
113 | 16.01.2003 | STS-107 | Columbia | LC-39A
114 | 26.07.2005 | STS-114 | Discovery | LC-39B
115 | 04.07.2006 | STS-121 | Discovery | LC-39B
116 | 09.09.2006 | STS-115 | Atlantis | LC-39B
117 | 10.12.2006 | STS-116 | Discovery | LC-39B
118 | 08.06.2007 | STS-117 | Atlantis | LC-39A
119 | 08.08.2007 | STS-118 | Endeavour | LC-39A
120 | 23.10.2007 | STS-120 | Discovery | LC-39A
121 | 07.02.2008 | STS-122 | Atlantis | LC-39A
122 | 11.03.2008 | STS-123 | Endeavour | LC-39A
123 | 31.05.2008 | STS-124 | Discovery | LC-39A
124 | 15.11.2008 | STS-126 | Endeavour | LC-39A
125 | 15.03.2009 | STS-119 | Discovery | LC-39A
126 | 11.05.2009 | STS-125 | Atlantis | LC-39A
127 | 15.07.2009 | STS-127 | Endeavour | LC-39A
128 | 29.08.2009 | STS-128 | Discovery | LC-39A
129 | 16.11.2009 | STS-129 | Atlantis | LC-39A
130 | 08.02.2010 | STS-130 | Endeavour | LC-39A
131 | 05.04.2010 | STS-131 | Discovery | LC-39A
132 | 14.05.2010 | STS-132 | Atlantis | LC-39A
133 | 24.02.2011 | STS-133 | Discovery | LC-39A
134 | 16.05.2011 | STS-134 | Endeavour | LC-39A
135 | 08.07.2011 | STS-135 | Atlantis | LC-39A
